action_state,frame_count,replay_count,player_count,pct_grounded,pct_of_total
341,5977,918,958,100.0,0.0043
218,5386,169,170,100.0,0.0039
215,3641,1580,1664,100.0,0.0026
348,3537,1205,1314,100.0,0.0026
362,3181,168,168,100.0,0.0023
229,2832,115,115,85.35,0.002
355,2476,80,81,100.0,0.0018
367,1564,79,79,0.0,0.0011
230,1139,56,56,0.0,0.0008
185,1071,75,75,26.42,0.0008
47,998,167,169,100.0,0.0007
54,828,33,34,100.0,0.0006
49,827,99,99,100.0,0.0006
250,786,129,130,0.0,0.0006
81,715,58,58,77.76,0.0005
204,643,24,24,0.0,0.0005
248,633,24,24,0.0,0.0005
249,522,28,28,100.0,0.0004
52,203,8,8,100.0,0.0001
211,71,1,1,100.0,0.0001
335,64,4,4,0.0,0.0
209,30,1,1,100.0,0.0
205,29,1,1,0.0,0.0
207,26,1,1,100.0,0.0
