from_state,to_state,transition_count,replay_count,player_count,pct_of_all_transitions
183,187,11930,5741,7780,0.0815
227,228,11739,4306,5301,0.0802
213,221,11732,5124,6455,0.0801
235,39,11723,5314,7012,0.08
72,20,11665,5431,7273,0.0796
182,181,11531,5241,6987,0.0787
358,357,11524,5665,7719,0.0787
233,14,11491,5244,6895,0.0785
13,29,11370,5443,7134,0.0776
216,217,11364,4328,5327,0.0776
212,88,11309,5576,7473,0.0772
183,186,11248,5232,6785,0.0768
358,35,11025,5702,7694,0.0753
352,252,10994,5369,7018,0.0751
27,65,10924,5266,6909,0.0746
41,15,10915,5217,6743,0.0745
87,38,10912,5659,7440,0.0745
90,223,10897,3729,4434,0.0744
223,224,10870,4254,5166,0.0742
79,88,10798,5579,7352,0.0737
39,41,10766,5021,6444,0.0735
179,212,10647,4930,6233,0.0727
182,244,10626,3597,4295,0.0726
228,227,10563,4103,4998,0.0721
24,68,10515,5167,6652,0.0718
27,68,10378,5300,6820,0.0709
366,361,10356,4292,5192,0.0707
178,234,10353,4919,6364,0.0707
18,15,10259,5336,7000,0.07
90,201,10203,5323,7013,0.0697
364,361,10033,4818,6080,0.0685
77,42,10033,5313,6984,0.0685
29,344,9981,4278,5324,0.0682
234,14,9706,4813,6180,0.0663
226,241,9671,4865,6037,0.066
24,67,9498,4755,5964,0.0649
224,241,9465,3899,4697,0.0646
79,42,9181,5043,6507,0.0627
29,69,9157,4511,5536,0.0625
90,38,9105,5124,6536,0.0622
87,183,9103,5145,6645,0.0622
366,369,9098,4660,5704,0.0621
74,20,9091,4737,5901,0.0621
183,193,9034,5219,6563,0.0617
16,17,9008,4742,5940,0.0615
90,4,8956,5226,6884,0.0612
85,90,8921,4942,6156,0.0609
345,346,8914,4622,5788,0.0609
70,20,8847,4708,5872,0.0604
199,14,8838,4993,6414,0.0603
24,65,8786,3909,4608,0.06
178,180,8784,4976,6271,0.06
89,38,8506,4981,6338,0.0581
90,85,8353,4768,5878,0.057
28,236,8271,4282,5269,0.0565
26,252,8225,4570,5552,0.0562
262,263,8182,4676,5857,0.0559
50,18,8076,4552,5647,0.0551
76,82,8073,4786,5945,0.0551
76,42,8029,4793,5990,0.0548
73,18,7976,4608,5664,0.0545
27,344,7955,4162,5016,0.0543
235,14,7899,4455,5526,0.0539
21,50,7795,4267,5314,0.0532
91,38,7778,4571,5748,0.0531
38,350,7708,4618,5597,0.0526
25,85,7691,4674,5795,0.0525
72,15,7682,4447,5509,0.0525
253,262,7672,4504,5584,0.0524
4,12,7646,4847,6239,0.0522
253,255,7624,4314,5215,0.0521
244,69,7592,4006,4958,0.0518
23,24,7544,4366,5383,0.0515
346,42,7488,4217,5108,0.0511
38,365,7481,4021,4793,0.0511
365,27,7368,4266,5106,0.0503
41,24,7360,4397,5405,0.0503
361,363,7314,4366,5342,0.0499
57,41,7292,4350,5340,0.0498
88,191,7275,4564,5614,0.0497
76,79,7170,4555,5571,0.049
14,212,7126,3871,4589,0.0487
43,15,7115,4300,5278,0.0486
221,18,6966,4077,4899,0.0476
42,56,6965,4163,4987,0.0476
88,200,6952,4345,5331,0.0475
28,354,6900,3741,4437,0.0471
29,354,6887,4267,5179,0.047
356,252,6850,4147,4989,0.0468
361,364,6797,4013,4801,0.0464
